Age,VisualDeficiency,Astigmatism,TearProduction,RecommendedLense
young,myopia,no,reduced,none
young,myopia,no,normal,soft
young,myopia,yes,reduced,none
young,myopia,yes,normal,hard
young,hypermetropia,no,reduced,none
young,hypermetropia,no,normal,soft
young,hypermetropia,yes,reduced,none
young,hypermetropia,yes,normal,hard
pre-presbiopic,myopia,no,reduced,none
pre-presbiopic,myopia,no,normal,soft
pre-presbiopic,myopia,yes,reduced,none
pre-presbiopic,myopia,yes,normal,hard
pre-presbiopic,hypermetropia,no,reduced,none
pre-presbiopic,hypermetropia,no,normal,soft
pre-presbiopic,hypermetropia,yes,reduced,none
pre-presbiopic,hypermetropia,yes,normal,none
presbiopic,myopia,no,reduced,none
presbiopic,myopia,no,normal,none
presbiopic,myopia,yes,reduced,none
presbiopic,myopia,yes,normal,hard
presbiopic,hypermetropia,no,reduced,none
presbiopic,hypermetropia,no,normal,soft
presbiopic,hypermetropia,yes,rediced,none
presbiopic,hypermetropia,yes,normal,none
