,Rules,Train coverage,Train accuracy,Train recall
143,(2.0 <= Clump Thickness <= 6.0) // AND (1.0 <= Uniformity of Cell Size <= 2.0) // AND (1.0 <= Uniformity of Cell Shape <= 2.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 7.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.17531305903398928,1.0,0.2699724517906336
184,(1.0 <= Clump Thickness <= 2.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 3.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.1520572450805009,1.0,0.23415977961432508
191,(1.0 <= Clump Thickness <= 2.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 2.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.15026833631484796,1.0,0.23140495867768596
84,(1.0 <= Clump Thickness <= 3.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 2.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.13595706618962433,1.0,0.209366391184573
29,(2.0 <= Clump Thickness <= 5.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 2.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.13059033989266547,1.0,0.20110192837465565
41,(2.0 <= Clump Thickness <= 5.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 2.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.13059033989266547,1.0,0.20110192837465565
105,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (1.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.12880143112701253,1.0,0.19834710743801653
112,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 2.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.12880143112701253,1.0,0.19834710743801653
140,(1.0 <= Clump Thickness <= 2.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (1.0 <= Bland Chromatin <= 2.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.12343470483005367,1.0,0.19008264462809918
146,(3.0 <= Clump Thickness <= 5.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 2.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 2.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.11806797853309481,1.0,0.18181818181818182
